,V1,s3_EBHM_test,,,,,,,
1,37.1,25.98664474,,,,,,,
2,37.5,25.69752219,,,,,,,
3,37.9,26.24098034,,,,,,,
4,38.13333333,25.74195612,,,,,,,
5,40.06666667,25.00147986,,,,,,,
6,41.03333333,25.2957641,,,,,,,
7,41.53333333,27.8176102,,,,,,,
8,42,27.19843105,,,,,,,
9,42.5,24.32119248,,,,,,,
10,45.46666667,28.0705752,,,,,,,
11,45.46666667,26.69731513,,,,,,,
12,46,26.75382076,,,,,,,
13,46.16666667,25.45263218,,,,,,,
14,47.1,25.28708214,,,,,,,
15,47.33333333,25.87395847,,,,,,,
16,47.43333333,26.28242563,,,,,,,
17,49.16666667,23.8877942,,,,,,,
18,52.7,23.56964897,,,,,,,
19,53.1,27.77329984,,,,,,,
20,58.93333333,27.37562006,,,,,,,
21,62.13333333,28.15107791,,,,,,,
22,63.66666667,27.66903865,,,,,,,
23,65.76666667,24.69995548,,,,,,,
24,69.56666667,27.48172215,,,,,,,
25,6.122951,30.20676551,,,,,,,
26,12.03333333,31.6886185,,,,,,,
27,12.73333333,28.92736044,,,,,,,
28,17.43333333,27.96445238,,,,,,,
29,18.93333333,30.57872487,,,,,,,
30,20.8,26.6468366,,,,,,,
31,38.66666667,29.356964,,,,,,,
32,41.2,29.85897996,,,,,,,
33,42.36666667,31.39403374,,,,,,,
34,43.76666667,28.5338918,,,,,,,
35,45.83333333,29.61424922,,,,,,,
36,46.76666667,31.89338833,,,,,,,
37,58.53333333,30.82539918,,,,,,,
38,60.26666667,30.06481522,,,,,,,
39,15.16666667,29.3072099,,,,,,,
40,24.73333333,27.70323775,,,,,,,
41,27.7,25.5134731,,,,,,,
,,,,,,,,,
,Sample concordance correlation coefficient (_c),,,,,-0.04,,,
,Lower one-sided 95% CL for _c,,,,,-0.081,,,
,Lower two-sided 95% CL for _c,,,,,-0.089,,,
,Upper one-sided 95% CL for _c ,,,,,0.0016,,,
,Upper two-sided 95% CL for _c,,,,,0.0096,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
